rating,long,place,address,lat,type
4.0,1.5388704,"

Hotel Bringue
","Carretera General de Ordino, 3, El Serrat AD300, Andorra ",42.618587,hotel
4.0,1.6660487,"

Hotel Galanthus & Spa
","Crta Gral. n 2 | Km.18, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.583345,"

Guillem Hotel
","Carrer Dels Arinsols 10, Encamp AD200, Andorra ",42.5356628,hotel
4.0,1.6660487,"

Hotel Bruxelles
","Ctra. General 2, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5998403,"

Hotel Bonavida
","Placa Major, Canillo AD100, Andorra ",42.5664294,hotel
4.0,1.5369236,"

Hotel Les Closes
","Avinguda Carlemany 93, Escaldes-Engordany AD700, Andorra ",42.5086202,hotel
4.0,1.6660487,"

Sport Hotel
","Crta. General s/n, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5234345,"

Hotel Anyos Park
","Crta. d'Anyos | Crta. d'Anyos, La Massana AD400, Andorra ",42.5327491,hotel
4.0,1.5595277,"

Hotel Roc de Caldes
","Crta d'Engolasters s/n, Escaldes-Engordany AD700, Andorra ",42.5109116,hotel
4.0,1.5135183,"

Hotel Magic Ski
","Avinguda del Ravell 1, La Massana AD400, Andorra ",42.5470174,hotel
4.0,1.7319228,"

Magic Pas Hotel
","Carrer Sant Jordi 19 - 21, Pas de la Casa AD200, Andorra ",42.5426284,hotel
4.0,1.5830224,"

Montecarlo Hotel
","Av. Co-Princep Episcopal 104, Encamp AD200, Andorra ",42.5362652,hotel
4.5,1.7322992,"

Hotel Casado
","Catalunya, 23, Pas de la Casa AD200, Andorra ",42.5420474,hotel
3.5,1.5301422,"

Magic Andorra Hotel
","Av. Doctor Mitjavila 3-9, Andorra la Vella AD500, Andorra ",42.5093171,hotel
3.5,1.7333077,"

Hotel Catalunya
","Carrer Catalunya 4, Pas de la Casa AD200, Andorra ",42.5418292,hotel
4.0,1.4818459,"

Patagonia Atiram Hotel
","Carretera de Compallemple S/n, Arinsal AD400, Andorra ",42.5748011,hotel
3.5,1.4856863,"

St Gothard Hotel
","Carretera d'Arinsal s/n, Erts AD400, Andorra ",42.5716787,hotel
4.0,1.5330732,"

Hotel Babot
","Ctra d'Ordino a Canillo | Cap del Puy, Ordino AD300, Andorra ",42.5556547,hotel
4.0,1.4818459,"

Hostel Micolau
","Ctra General d'Arinsal, 15, Arinsal AD400, Andorra ",42.5748011,hotel
4.0,1.5408519,"

Hotel Metropolis
","Avinguda de les Escoles 25, Escaldes-Engordany AD700, Andorra ",42.5102509,hotel
4.0,1.4921277,"

Hotel Coma Bella
","Crta De La Rabassa Sn, km 6, Sant Julia de Loria AD600, Andorra ",42.4657861,hotel
4.0,1.7301767,"

Solaris Apartments
","Carrer de la Solana 91, Pas de la Casa, Andorra ",42.5414354,hotel
3.5,1.5396254,"

Golden Tulip Andorra Fenix Hotel
","Prat Gran 3-5, Escaldes-Engordany AD700, Andorra ",42.5095439,hotel
3.5,,"

Hotel Euro Esqui
","Carretera General s/n, Incles AD100, Andorra ",,hotel
3.5,1.5191982,"

Hotel Antic
","Carretera General Ordino Arcalis, s/n, La Cortinada AD300, Andorra ",42.5756916,hotel
3.5,1.5401957,"

Eureka Hotel Les Escaldes
","Avda Carlemany 36, Escaldes-Engordany AD700, Andorra ",42.5087463,hotel
4.0,1.5385558,"

Hotel Prisma
","C/ del Fener, 14, AD700, Andorra ",42.5082311,hotel
3.5,1.5393493,"

Hotel Tudel
","Placa Coprinceps, 8, Escaldes-Engordany AD700, Andorra ",42.5089409,hotel
4.0,1.584897,"

Hotel Coray
","Caballers 38, Encamp AD200, Andorra ",42.5351719,hotel
4.0,1.5493523,"

Hotel Tropical
","Av. Pont de la Tosca, 25, Escaldes-Engordany AD700 , Andorra (Formerly Ibis Andorra)",42.5117812,hotel
3.5,1.7326031,"

Parma Hotel
","Placa Coprincep 26-28, Pas de la Casa AD200, Andorra ",42.5434362,hotel
3.5,1.4926267,"

Imperial Atiram Hotel
","Avenida Rocafort, 27, Sant Julia de Loria AD600, Andorra ",42.469534,hotel
3.5,1.5269558,"

Hotel Andorra Palace
","Meritxell 58, Andorra la Vella AD500, Andorra ",42.5082991,hotel
4.0,1.5717974,"

La Mola
","Av. Joan Marti, 62 | or Av. Coprincep Episcopal 62, AD200, Andorra ",42.529679,hotel
4.5,,"

Guillem Hotel
","Arinsols 10, Andorra la Vella AD 200, Andorra ",,hotel
3.5,1.7333281,"

Hotel Cal Ruiz
","Avinguda Consell General 10-12, Pas de la Casa AD200, Andorra ",42.5440195,hotel
4.0,1.7316173,"

Hotel Guineu
","Carrer la Solana 34, Pas de la Casa AD200, Andorra ",42.5423167,hotel
3.5,1.6660487,"

Ahotels Piolets & Spa
","Ctra General s/n, Soldeu AD100, Andorra ",42.577791,hotel
3.5,1.5342514,"

Exe Princep Hotel
","C/ de la Unio, 5, Escaldes-Engordany AD700, Andorra ",42.5081263,hotel
3.5,1.7315825,"

Alaska Aparthotel
","Carrer de la Solana 4, Pas de la Casa AD200, Andorra ",42.5425666,hotel
3.5,1.5384347,"

Tulip Inn Andorra Delfos Hotel
","Avd del Fener 17, Escaldes-Engordany AD700, Andorra ",42.5081173,hotel
3.0,1.7309835,"

Hotel Reial Pirineus
","Calle de la Solana 64-66, Pas de la Casa AD200, Andorra ",42.5423862,hotel
3.5,1.533196,"

Hotel Les 7 Claus
","Av. Fiter i Rossell 49, Escaldes-Engordany AD700, Andorra ",42.5137555,hotel
3.0,1.5416455,"

Panorama Hotel
","Carretera de l'Obach s/n, Escaldes-Engordany AD700, Andorra ",42.5079192,hotel
3.0,1.7334066,"

Hotel Panda
","Avda del Consell General 11, Pas de la Casa AD200, Andorra ",42.543386,hotel
3.0,1.5133106,"

President Hotel
","Av Santa Coloma 42 - 44, Andorra la Vella AD200, Andorra ",42.5031743,hotel
3.0,1.5408226,"

Hotel & Aparthotel Cosmos
","Av. De les Escoles 10, Escaldes-Engordany AD700, Andorra ",42.5094337,hotel
3.5,1.4888171,"

Xalet Besoli
","Carretera Escladella s/n, Arinsal AD400, Andorra ",42.5691424,hotel
3.5,1.4755676,"

Hotel Sol-Park
","Carretera de Fontaneda, Sant Julia de Loria AD600, Andorra ",42.4574121,hotel
3.5,,"

Niunit Hotel
","Carretera General 1 s/n, El Serrat AD 300, Andorra ",,hotel
3.0,1.5202752,"

Andorra Center
","Dr. Nequi 12, Andorra la Vella AD500, Andorra ",42.5076577,hotel
4.0,1.7301767,"

Solaris Apartments
","Carrer de la Solana 91, Pas de la Casa, Andorra ",42.5414354,hotel
3.5,1.5396254,"

Golden Tulip Andorra Fenix Hotel
","Prat Gran 3-5, Escaldes-Engordany AD700, Andorra ",42.5095439,hotel
3.5,,"

Hotel Euro Esqui
","Carretera General s/n, Incles AD100, Andorra ",,hotel
3.5,1.5191982,"

Hotel Antic
","Carretera General Ordino Arcalis, s/n, La Cortinada AD300, Andorra ",42.5756916,hotel
3.5,1.5401957,"

Eureka Hotel Les Escaldes
","Avda Carlemany 36, Escaldes-Engordany AD700, Andorra ",42.5087463,hotel
4.0,1.5385558,"

Hotel Prisma
","C/ del Fener, 14, AD700, Andorra ",42.5082311,hotel
3.5,1.5393493,"

Hotel Tudel
","Placa Coprinceps, 8, Escaldes-Engordany AD700, Andorra ",42.5089409,hotel
4.0,1.584897,"

Hotel Coray
","Caballers 38, Encamp AD200, Andorra ",42.5351719,hotel
4.0,1.5493523,"

Hotel Tropical
","Av. Pont de la Tosca, 25, Escaldes-Engordany AD700 , Andorra (Formerly Ibis Andorra)",42.5117812,hotel
3.5,1.7326031,"

Parma Hotel
","Placa Coprincep 26-28, Pas de la Casa AD200, Andorra ",42.5434362,hotel
3.5,1.4926267,"

Imperial Atiram Hotel
","Avenida Rocafort, 27, Sant Julia de Loria AD600, Andorra ",42.469534,hotel
3.5,1.5269558,"

Hotel Andorra Palace
","Meritxell 58, Andorra la Vella AD500, Andorra ",42.5082991,hotel
4.0,1.5717974,"

La Mola
","Av. Joan Marti, 62 | or Av. Coprincep Episcopal 62, AD200, Andorra ",42.529679,hotel
4.5,,"

Guillem Hotel
","Arinsols 10, Andorra la Vella AD 200, Andorra ",,hotel
3.5,1.7333281,"

Hotel Cal Ruiz
","Avinguda Consell General 10-12, Pas de la Casa AD200, Andorra ",42.5440195,hotel
4.0,1.7316173,"

Hotel Guineu
","Carrer la Solana 34, Pas de la Casa AD200, Andorra ",42.5423167,hotel
3.5,1.6660487,"

Ahotels Piolets & Spa
","Ctra General s/n, Soldeu AD100, Andorra ",42.577791,hotel
