122,Restaurant Eximi," Carrer De La Llacuna, 5, Andorra la Vella AD500, Andorra ",restaurant,42.5082,1.52245,4.5,9308,9684
123,Platin," Carrer Bonaventura Riberaygua, 8 | Carrer Bonaventura Riberaygua, 8, Andorra la Vella AD500, Andorra ",restaurant,42.5074,1.53173,4.5,9684,9871
124,And Burger Zero," Cap del carrer, Andorra la Vella, Andorra ",restaurant,42.508,1.5223,4.0,9871,10166
125,Bodega Poblet," Carrer de lAlzinaret 6 | AD500, Andorra la Vella, Andorra ",restaurant,42.5088,1.52132,4.5,10166,10340
126,Bufet El Grill," Avenida Meritxell, 11, Andorra la Vella AD500, Andorra ",restaurant,42.5079,1.52368,4.0,10340,10603
127,Restaurant Coma," Placeta Monjo n 3, Andorra la Vella ad500, Andorra ",restaurant,42.5069,1.52078,4.5,10603,10647
128,Taberna Angel Belmonte," C.Ciutat de Consuegra, 3, | Casa Campolier, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.0,10647,10820
129,Pizzeria Primavera," C/ Callaueta 8, Andorra la Vella AD500, Andorra ",restaurant,42.507,1.52999,4.0,10820,10960
130,Can Manel," C/ Mestre Xavier Plana, 6, Andorra la Vella, Andorra ",restaurant,42.5064,1.51534,4.5,10960,11064
131,La Adelita Andorra," Placa Princep Benlloc 4, Andorra la Vella Ad500, Andorra ",restaurant,42.5078,1.52194,4.0,11064,11195
132,La Cava Andorra," C/ Mossen Cinto Verdaguer, 7, Andorra la Vella 822729, Andorra ",restaurant,42.5083,1.52194,4.5,11195,11299
133,Restaurant Ca La Conxita," c/ La Llacuna, 12 | c/ La Llacuna, 12, Andorra la Vella, Parroquia de Andorra la Vella, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,11299,11369
134,Borda Estevet," Carretera de la Comella 2, Andorra la Vella AD500, Andorra ",restaurant,42.503,1.51985,4.0,11369,11642
135,El Burg," Baixada Del Moli, N 47 | Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5046,1.51511,4.5,11642,11700
136,The Family Arms," Placa Rebes, 6 | Placa Rebes, 6, Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5075,1.52294,4.0,11700,11812
137,l Arrosseria," Carrer de la Vall, 1, Andorra la Vella AD500, Andorra ",restaurant,42.5072,1.52142,4.0,11812,11944
138,K LIRINA," carrer PERE DURG NUMER 5 | Carrer Pere Durg Numero 16, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.5,11944,11980
139,El Refugi Alpi," Avinguda Meritxell, 73, Andorra la Vella AD500, Andorra ",restaurant,42.5089,1.52915,3.5,11980,12432
140,"13,50"," Prat de la Creu 29-39, Andorra la Vella AD500, Andorra ",restaurant,42.507,1.52608,5.0,12432,12458
141,El Raval," C. Sant Esteve, 5, Andorra la Vella AD 500 , Andorra ",restaurant,42.5076,1.5292,4.5,12458,12481
142,Restaurant Tatu," Avinguda de Tarragona, 58, Andorra la Vella AD500, Andorra ",restaurant,42.5052,1.52539,4.5,12481,12506
143,1940," Avinguda Princep Benlloch 20 bis | Free Parking Behind, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.0,12506,12637
144,Pizzera Angelo," C/ Maria Pla, 13, Andorra la Vella, Andorra ",restaurant,42.5073,1.53308,4.0,12637,12657
145,Vietnam Gourmet," Carrer Joan Maragall, 22, Andorra la Vella AD500, Andorra ",restaurant,42.5066,1.53066,4.5,12657,12684
146,Minims," C/ Antic Carrer Major 5, Andorra la Vella, Andorra ",restaurant,42.5072,1.52075,4.0,12684,12748
147,Restaurant Plaza at Hotel Plaza," C. Maria Pla, 19-21, Andorra la Vella AD500, Andorra ",restaurant,42.5069,1.53255,4.0,12748,12782
148,Plato Restaurant," Calle Prat de la Creu, 15-25 | C. Prat De La Creu, 15-25, Andorra la Vella AD500, Andorra ",restaurant,42.5071,1.52645,4.0,12782,12844
149,LEscenari de Pizzes," AD 500 | Av. Dr. Mitjavila 19, Andorra la Vella AD 500, Andorra ",restaurant,42.5098,1.53108,4.5,12844,13182
150,El Crosto," Cap Del Carrer, 7 | Baixos, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,13182,13413
151,Versailles," Carrer del Cap, 1, Andorra la Vella, Andorra ",restaurant,42.5079,1.52209,4.5,13413,13579
152,Restaurant Eximi," Carrer De La Llacuna, 5, Andorra la Vella AD500, Andorra ",restaurant,42.5082,1.52245,4.5,13579,13955
153,Platin," Carrer Bonaventura Riberaygua, 8 | Carrer Bonaventura Riberaygua, 8, Andorra la Vella AD500, Andorra ",restaurant,42.5074,1.53173,4.5,13955,14142
154,And Burger Zero," Cap del carrer, Andorra la Vella, Andorra ",restaurant,42.508,1.5223,4.0,14142,14436
155,Bodega Poblet," Carrer de lAlzinaret 6 | AD500, Andorra la Vella, Andorra ",restaurant,42.5088,1.52132,4.5,14436,14610
156,Bufet El Grill," Avenida Meritxell, 11, Andorra la Vella AD500, Andorra ",restaurant,42.5079,1.52368,4.0,14610,14873
