ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
3451476,Apartamento en Andorra 2 dorm.,17394459,https://www.airbnb.com/s/Andorra?page=2,80,No Description Found,Ana,Not Found,42.498653775954935,1.50058653898878,No,Moderate,22,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,$173.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,2,3:00 PM,1:00 PM,3,Apartment,
8717082,Acogedor apartamento muy centrico,35683398,https://www.airbnb.com/s/Andorra?page=2,52,No Description Found,Noe,Not Found,42.50798920445317,1.523188483765113,No,Flexible,23,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,
5670448,Habitacion privada en Átic  Andorra,14538867,https://www.airbnb.com/s/Andorra?page=2,45,No Description Found,Evelyn,Not Found,42.50572892302421,1.52997023660519,No,Strict,24,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,$35.00,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1.5,Not Found,1,4:00 PM,11:00 AM,2,House,
6325728,En el corazón de Andorra la Vella,32917079,https://www.airbnb.com/s/Andorra?page=2,68,No Description Found,Diego,Not Found,42.50862286135941,1.5240827454852308,No,Moderate,25,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,Not Found,$12 / night after the first guest,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,1,Not Found,Not Found,2,Apartment,
9328316,"Buenas vistas, centrico y acojedor",48414721,https://www.airbnb.com/s/Andorra?page=2,37,No Description Found,Leini,Not Found,42.50329134032893,1.5126724463287113,No,Flexible,26,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,$14.00,$104.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,12PM (noon),11:00 AM,1,Apartment,
7742165,Superb Suite in Center ANDORRA,32962821,https://www.airbnb.com/s/Andorra?page=2,69,No Description Found,Monique,Not Found,42.51054404140235,1.5404214201127024,No,Moderate,27,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,$173.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,3:00 PM,11:00 AM,1,Apartment,
6887754,Acollidora casa entorn natural,27483844,https://www.airbnb.com/s/Andorra?page=2,58,No Description Found,M. Àngels,Not Found,42.47721017656954,1.4884229350034226,No,Moderate,28,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1.5,Real Bed,1,12AM (midnight),3:00 PM,1,House,
9840157,Ático céntrico con bonitas vistas,49397400,https://www.airbnb.com/s/Andorra?page=2,40,No Description Found,Sandra,Not Found,42.54507415013664,1.5151787274790518,No,Moderate,29,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,$12.00,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,8:00 AM,2:00 PM,1,Apartment,
8267939,Estudio para 2 personas WIFI Modern,4145741,https://www.airbnb.com/s/Andorra?page=2,52,No Description Found,Marc,Not Found,42.53504202399989,1.5789925337839892,No,Strict,30,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Pull-out Sofa,0,3:00 PM,12:00 PM (noon),1,Apartment,
11466942,Sol vista WIFI 2hab Andorra Encamp,4145741,https://www.airbnb.com/s/Andorra?page=2,75,No Description Found,Marc,Not Found,42.535239597863196,1.579177487267995,No,Flexible,31,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,6,1,Not Found,2,Not Found,Not Found,3,Apartment,
10079855,Appartement 3 min des pistes,17956386,https://www.airbnb.com/s/Andorra?page=2,56,No Description Found,Guilllaume,Not Found,42.529571131954384,1.5712034128355314,No,Strict,32,14,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$37.00,$575.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,2,12PM (noon),1:00 PM,2,Apartment,
2349512,Attic with woodstove & views. ,656777,https://www.airbnb.com/s/Andorra?page=2,68,No Description Found,Pere,Not Found,42.58367822355965,1.5186108939895866,No,Moderate,33,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$23.00,$173.00,$23 / night after 2 guests,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Not Found,2,Not Found,Not Found,2,Apartment,
5704139,"Centrico y tranquilo Andorra, wifi",4160764,https://www.airbnb.com/s/Andorra?page=2,75,No Description Found,Antonio,Not Found,42.50822829783195,1.519991492117287,No,Strict,34,16,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,$201.00,$29 / night after 2 guests,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,1,2:00 PM,10:00 AM,2,Apartment,
9293989,Atico Andorra La Margineda,23222617,https://www.airbnb.com/s/Andorra?page=2,35,No Description Found,Jesica,Not Found,42.487007228793026,1.4917448106614792,No,Flexible,35,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,Not Found,Not Found,No Charge,$690 /month,$253 /week,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,1,Not Found,Not Found,2,Apartment,
7357572,Hab. Individual con vistas montaña,15132028,https://www.airbnb.com/s/Andorra?page=2,35,No Description Found,Elisabeth,Not Found,42.55693585663697,1.5063094421159557,No,Flexible,36,18,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,Real Bed,1,5:00 PM,Not Found,1,Apartment,
10111280,Ático en el Centro de Andorra,11095978,https://www.airbnb.com/s/Andorra?page=3,115,No Description Found,Daniel,Not Found,42.51065028895902,1.5475062352630227,No,Flexible,37,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,$23.00,$115.00,No Charge,$1381 /month,$575 /week,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,1,Not Found,Not Found,2,Apartment,
